sale_id,product_id,store_id,quantity,price,timestamp
1,P021,S001,2,9.98,2025-05-01 19:17:00
2,P008,S002,16,107.04,2025-05-02 19:06:00
3,P022,S006,68,142.12,2025-05-03 09:37:00
4,P014,S001,2,138.58,2025-05-04 09:13:00
5,P008,S005,76,508.44,2025-05-05 08:35:00
6,P007,S006,68,992.12,2025-05-06 14:14:00
7,P015,S005,34,421.26,2025-05-07 08:48:00
8,P006,S006,53,661.97,2025-05-08 13:17:00
9,P005,S002,42,8374.38,2025-05-09 09:05:00
10,P013,S001,44,1724.36,2025-05-10 13:38:00
11,P009,S001,57,216.03,2025-05-11 16:07:00
12,P013,S001,69,2704.11,2025-05-12 12:53:00
13,P021,S005,45,224.55,2025-05-13 17:12:00
14,P003,S001,28,1119.72,2025-05-14 12:05:00
15,P008,S001,47,314.43,2025-05-15 12:29:00
16,P021,S003,19,94.81,2025-05-16 13:22:00
17,P007,S006,33,481.47,2025-05-17 19:59:00
18,P022,S006,8,16.72,2025-05-18 17:40:00
19,P006,S005,30,374.70,2025-05-19 10:29:00
20,P013,S003,70,2743.30,2025-05-20 11:43:00
21,P011,S001,28,559.72,2025-05-21 08:51:00
22,P011,S004,33,659.67,2025-05-01 09:13:00
23,P019,S006,39,966.81,2025-05-02 11:41:00
24,P016,S004,57,1680.93,2025-05-03 10:16:00
25,P005,S002,70,13957.30,2025-05-04 16:16:00
26,P019,S004,73,1809.67,2025-05-05 14:23:00
27,P008,S002,64,428.16,2025-05-06 15:05:00
28,P002,S001,18,1785.42,2025-05-07 18:10:00
29,P022,S004,75,156.75,2025-05-08 09:24:00
30,P013,S005,58,2273.02,2025-05-09 16:16:00
31,P018,S001,13,450.97,2025-05-10 18:56:00
32,P018,S003,42,1456.98,2025-05-11 09:18:00
33,P014,S002,57,3949.53,2025-05-12 08:46:00
34,P009,S005,21,79.59,2025-05-13 16:58:00
35,P004,S006,37,5523.73,2025-05-14 18:32:00
36,P020,S002,18,268.02,2025-05-15 13:48:00
37,P006,S005,66,824.34,2025-05-16 08:38:00
38,P011,S004,1,19.99,2025-05-17 09:59:00
39,P012,S003,29,1423.61,2025-05-18 08:15:00
40,P019,S001,9,223.11,2025-05-19 19:31:00
41,P003,S005,15,599.85,2025-05-20 10:42:00
42,P016,S005,20,589.80,2025-05-21 12:33:00
43,P020,S004,26,387.14,2025-05-01 16:48:00
44,P007,S006,38,554.42,2025-05-02 14:42:00
45,P021,S003,55,274.45,2025-05-03 16:28:00
46,P004,S002,27,4030.83,2025-05-04 09:21:00
47,P001,S005,69,5457.21,2025-05-05 11:37:00
48,P008,S001,8,53.52,2025-05-06 19:40:00
49,P002,S002,7,694.33,2025-05-07 08:55:00
50,P011,S001,64,1279.36,2025-05-08 11:17:00
51,P022,S004,26,54.34,2025-05-09 16:08:00
52,P019,S005,59,1462.61,2025-05-10 11:50:00
53,P016,S004,23,678.27,2025-05-11 09:06:00
54,P022,S004,44,91.96,2025-05-12 14:26:00
55,P015,S006,5,61.95,2025-05-13 18:41:00
56,P021,S001,6,29.94,2025-05-14 14:46:00
57,P011,S001,30,599.70,2025-05-15 11:12:00
58,P018,S004,16,555.04,2025-05-16 14:11:00
59,P009,S004,30,113.70,2025-05-17 09:28:00
60,P018,S001,5,173.45,2025-05-18 18:34:00
61,P001,S001,29,2293.61,2025-05-19 10:26:00
62,P016,S004,26,766.74,2025-05-20 14:57:00
63,P002,S002,47,4661.93,2025-05-21 08:24:00
64,P009,S004,35,132.65,2025-05-01 14:44:00
65,P018,S006,61,2116.09,2025-05-02 10:12:00
66,P010,S002,6,47.34,2025-05-03 17:47:00
67,P018,S001,39,1352.91,2025-05-04 08:03:00
68,P019,S004,63,1561.77,2025-05-05 16:10:00
69,P002,S005,9,892.71,2025-05-06 10:04:00
70,P020,S001,29,431.81,2025-05-07 14:07:00
71,P019,S002,73,1809.67,2025-05-08 17:02:00
72,P020,S001,52,774.28,2025-05-09 18:37:00
73,P019,S005,39,966.81,2025-05-10 12:13:00
